text,label
Mon Aug 24 14 55 00 0000 2015,rt @rspca_official: rt @ncolondon: @rspca_official please rt for us.... 80yr old dog owner getting very distraught over his lost dog 😓 http…
Mon Aug 24 14 40 28 0000 2015,"rt @bbccambs: flying displays by vintage jets ""significantly restricted"" until further notice by caa - limited to fly pasts."
Mon Aug 24 07 41 37 0000 2015,"rt @craftsbeautiful: happy #monday, crafters! if you need a bit of a pick-me-up to get you started, check this out: http://t.co/5xa87fwnd4 …"
Mon Aug 24 07 36 23 0000 2015,they don't sleep like this now 💕... #catsoftwitter http://t.co/sya7rrr2fa http://t.co/agj2tx5f93
Mon Aug 24 07 12 24 0000 2015,truly so awful 😟 https://t.co/ji4lw4k8co
Mon Aug 24 07 10 25 0000 2015,i don't understand this. what does it achieve?!😕palmyra's baalshamin temple 'blown up by is' http://t.co/xvulgzu73q
Mon Aug 24 06 21 48 0000 2015,"rt @designtaxi: cigarettes made out of green tea leaves, claim to help you quit smoking http://t.co/f7mvazdbis http://t.co/hakwgto1fo"
Sun Aug 23 21 48 16 0000 2015,not having to get up in the morning for two whole weeks. bliss. 😊
Sun Aug 23 20 06 21 0000 2015,i feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖
Sun Aug 23 20 01 04 0000 2015,rt @designtaxi: ‘hair tapestry’ is the latest hair trend http://t.co/neqztnqvjj http://t.co/wrjbklcvvo
Sun Aug 23 19 25 57 0000 2015,it feels like #shoreham coverage and alt media has now gone beyond news to 'ghoulish'...
Sun Aug 23 19 21 55 0000 2015,"@thomasevansukip it's the mail, it's entirely their mo. mail online is barely 'news' 😕"
Sun Aug 23 19 03 08 0000 2015,@offensivebanter it's so awful 😟
Sun Aug 23 18 59 52 0000 2015,the awfulness of it continues. heartbreaking 😟 https://t.co/wdzelwa3ah
Sun Aug 23 16 30 38 0000 2015,lazy afternoon snooze with my kitty cat... #lazysunday
Sun Aug 23 15 56 22 0000 2015,the pain and heartbreak of tragedy is such a confusing emotion. i feel such sadness for my south coast friends #shoreham
Sun Aug 23 14 59 01 0000 2015,pouring with rain in #cambridge. that sun didn't last long... 😕
Sun Aug 23 14 24 49 0000 2015,rt @brightonargus: friends of @worthingutdfc footballers pay tribute to to their teammates - http://t.co/dtjkxu7o3j http://t.co/hdrcaj10c9
Sun Aug 23 13 04 55 0000 2015,i've done nothing for the last 40 minute. enough. i need to stand up and do stuff #lazysunday
Sun Aug 23 07 31 07 0000 2015,rt @craftsbeautiful: comfy this sunday morning? our cushion blog post will only make you more snug! http://t.co/emsga5pbf3 http://t.co/tiyz…
Sun Aug 23 06 50 46 0000 2015,rt @brightonargus: a27 diversion route likely to remain in place all day after shoreham air crash - http://t.co/p7nroqnpgi http://t.co/lflo…
Sun Aug 23 06 44 58 0000 2015,"@jackdineen1 new media highlights the hypocrisy of humans. tragedy is global, but many choose to ignore what's not on their doorstep x"
Sat Aug 22 20 29 57 0000 2015,i hope the pilot pulls through. there's been enough death today at #shoreham 😟 https://t.co/6whlqe3pk8
Sat Aug 22 16 37 55 0000 2015,@sarah_booker @yorkshireguy i keep seeing comments that the pilot was saved. if true i find that quite incredible
Sat Aug 22 16 11 14 0000 2015,"@sarah_booker @yorkshireguy urgh, awful 😢"
Sat Aug 22 16 09 15 0000 2015,"@yorkshireguy @sarah_booker i can't shake the image of the unsuspecting people, driving along, minding their own business. tragically sad."
Sat Aug 22 16 01 22 0000 2015,"@sarah_booker *this*. dear god! horrific image 😟 awful, awful, awful 😢 https://t.co/gg0rumnvmm"
Sat Aug 22 15 54 39 0000 2015,rt @bbcbreaking: 7 people confirmed dead after plane crashed into several vehicles on a27 during #shoreham airshow http://t.co/ismqgjy1eb
Sat Aug 22 15 45 53 0000 2015,@sarah_booker bbc reporting 7 fatalities so far 😟 just so awful
Sat Aug 22 15 34 09 0000 2015,toaster shopping is needlessly confusing...
Sat Aug 22 15 28 28 0000 2015,"finding it hard to find a 'funky' decent quality toaster at a reasonable price. all silver, boring or cheap looking... #firstworldproblems"
Sat Aug 22 15 21 36 0000 2015,rt @bbcsussex: this very sad footage has been released of the #shoreham air crash. the content is obviously distressing. http://t.co/ag2swz…
Sat Aug 22 14 32 43 0000 2015,@sarah_booker i had the same thought 😟
Sat Aug 22 14 27 05 0000 2015,"what an awful, awful tragedy. let's hope the casualties are few 😟 https://t.co/fkrqw7xrhp"
Sat Aug 22 07 44 03 0000 2015,so true 💕 http://t.co/oc0ww3juqb
Sat Aug 22 06 22 55 0000 2015,sofa shopping! whoop! 🎉
Sat Aug 22 06 15 30 0000 2015,my cat is always overjoyed to see me every morning. that kind of love is priceless 💕😊
Sat Aug 22 05 47 32 0000 2015,@jessgrace_ beach trip 😉
Sat Aug 22 05 29 25 0000 2015,@jessgrace_ are you going to go?
Fri Aug 21 19 49 25 0000 2015,"it's dusk, but warm. cool 😊💕 http://t.co/izfy86tpbg"
Fri Aug 21 18 50 29 0000 2015,@mrbenbrown awesome motovlogs! your commentary is great fun. now i want a bike... 😉
Fri Aug 21 16 52 19 0000 2015,rt @jasonlea69: #dolphins spotted heading east from #hove keep a look out! @brightonargus
Fri Aug 21 16 33 25 0000 2015,just finished a service centre call that didn't make me want to cry or punch something. good work eon 👍🏼
Fri Aug 21 16 27 44 0000 2015,rt @cambridgenewsuk: man taken to hospital after suffering arm wrestling injury on mill road http://t.co/4viahxys6g
Fri Aug 21 16 13 49 0000 2015,@eonhelp you too! ☀️
Fri Aug 21 16 11 32 0000 2015,"@eonhelp hi, thx. yes, i found it in the end and spoke with a nice, helpful young lady. all sorted. thx."
Fri Aug 21 16 10 35 0000 2015,"@eonhelp re my last tweet, don't worry, spoke to v helpful young lady. all sorted. thx!"
Fri Aug 21 16 00 24 0000 2015,"@eonhelp hi, i'm trying to find a number to phone for a new account but can't find it. please can you advise. thx."
Fri Aug 21 09 11 28 0000 2015,fragile egos and umbrage taken in a blink. i need a break.
Fri Aug 21 08 28 44 0000 2015,rt @dt_kenilworth: our dogs are desperate for treats!ben and his friends would be so grateful for any donations. @dogstrust http://t.co/qe0…
Fri Aug 21 08 17 08 0000 2015,two weeks off. i can't f'ing wait! i need to get away from work now.
Fri Aug 21 07 31 34 0000 2015,rt @homemade: 15 things you didn't know you could do with malteasers and they are all epic http://t.co/lmcwqekipp http://t.co/bdeynvm5bd
Fri Aug 21 07 30 46 0000 2015,feeling a strange mix of excited and sad. such a big change looming. very liberating in so many ways but #lifeischanging
Fri Aug 21 07 28 32 0000 2015,this is the last time i'm going to take this bus to work. feels weird.
Fri Aug 21 06 46 16 0000 2015,... i need to care less but don't want to have a hard heart 😕
Fri Aug 21 06 45 36 0000 2015,i don't know why i allow myself to feel such disappointment in someone even after all this time...
Fri Aug 21 05 27 28 0000 2015,last day in the office for 2 weeks. whoop! 😊
Thu Aug 20 16 56 21 0000 2015,horrible muggy weather #cambridge #weather
Thu Aug 20 16 50 47 0000 2015,"not, however, going to miss living on a road where people drive like lunatics..."
Thu Aug 20 16 36 18 0000 2015,walking home... occurs to me that 'walking' home won't be possible soon. i will miss that...
Thu Aug 20 12 59 29 0000 2015,wondering if this will turn out to be raymond... 😕 https://t.co/8la9quynv2
Thu Aug 20 11 08 29 0000 2015,i’ve decided that my life needs a pink cuddler chair(bed) 😁💗🏡
Thu Aug 20 10 03 00 0000 2015,i love this story  https://t.co/njkcbjqspg
Thu Aug 20 07 40 55 0000 2015,good luck to all the kids getting their gcse results today 🎓 #resultsday
Thu Aug 20 07 02 50 0000 2015,no people &amp; no traffic... where is everyone? #quietcambridge
Thu Aug 20 06 30 59 0000 2015,can faffing be considered a hobby? i'm very good at that...
Thu Aug 20 06 09 57 0000 2015,"this, absolutely this 💜 http://t.co/no4nlwfu0b"
Thu Aug 20 06 05 41 0000 2015,all i can think about right now is sofa shopping. excited! lol 🏡🎉
Thu Aug 20 05 10 24 0000 2015,i suppose i should get up...
Wed Aug 19 22 43 18 0000 2015,need to sleep but it's been an exciting day and i'm still buzzed 😁🏡
Wed Aug 19 22 40 27 0000 2015,mini hog earlier this evening. one of two that have moved in 💕 http://t.co/29co4uhem0
Tue Aug 18 06 31 42 0000 2015,"rt @designtaxi: the best times to post on facebook, instagram, twitter http://t.co/q96mjitd86 http://t.co/vtrkdf14tb"
Tue Aug 18 06 17 38 0000 2015,"another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent 👍🏼 😊"
Tue Aug 18 06 15 03 0000 2015,this is so me 😁 http://t.co/l7d49ipugk
Tue Aug 18 06 04 15 0000 2015,"i miss you, every single day. i don't think you know that. still, it's true 💕"
Mon Aug 17 23 05 14 0000 2015,there's either an eyelash or an elephant in my eye. either way the net result is the same... #pain
Mon Aug 17 20 18 54 0000 2015,"rt @elephantopia: elephant fact of the day: an elephant herd is considered one of the most closely knit societies of any animal,... http://…"
Mon Aug 17 17 42 03 0000 2015,"@celiahammond my beautiful spopie, adopted from chat in 2007. loving the ☀️ last week 💗 #blackcatappreciationday http://t.co/cclqlmsypr"
Mon Aug 17 16 16 11 0000 2015,@nimmykins do you still use this account?
Mon Aug 17 16 12 08 0000 2015,@paulamanning6 @rspca_official what a beauty!
Mon Aug 17 15 45 14 0000 2015,interesting reading... bbc news - better diagnosis call for adults with adhd http://t.co/exeox2r8ca
Mon Aug 17 11 46 32 0000 2015,"@rspca_official this is my girl, spopie #blackcatappreciationday http://t.co/mgdevpbq3o"
Mon Aug 17 11 22 45 0000 2015,cementing my status as ‘that crocheting weirdo’ in the staff cafe... 😁
Mon Aug 17 11 14 15 0000 2015,hear hear  https://t.co/qwjdxe8eww
Mon Aug 17 11 13 49 0000 2015,never thought i'd say this but i'm glad for the distraction of work. something to keep me productive and organised...
Mon Aug 17 09 47 09 0000 2015,it feels autumnal out all of a sudden... 🍂🍁
Mon Aug 17 07 42 09 0000 2015,made jess a cake... 🎂 http://t.co/0dipzh62im
Mon Aug 17 06 56 01 0000 2015,rt @cambridgenewsuk: community rallies behind former soldier who was seen begging at the beehive centre http://t.co/n4d4ry347m http://t.co/…
Mon Aug 17 06 55 29 0000 2015,rt @abigail_titmuss: 5yrs ago a puppy was abandoned in ireland. @dogstrust took him to london. i adopted him. today he swims in california …
Mon Aug 17 06 52 00 0000 2015,i miss you every single day. some days it feels like being gut-punched.
Sun Aug 16 14 45 39 0000 2015,house smells of cake... 😍🎂
Sun Aug 16 11 02 55 0000 2015,cotton granny square: pink and grey #crochet #grannysquare http://t.co/zqzuv3mbex
Sun Aug 16 09 17 11 0000 2015,"i've had my little car a year today. happy birthday little car, still going strong 🎉🚘"
Sat Aug 15 20 14 08 0000 2015,a bad week calls for #comfortfood http://t.co/pamcwa4299
Sat Aug 15 13 59 09 0000 2015,i ❤️ ely 😊💕 #ely #cambridgeshire https://t.co/sryxxpkjlq
Sat Aug 15 09 39 56 0000 2015,gorgeous day for a drive to ely @ ely catherdral https://t.co/j9sd3rju7k
Fri Aug 14 18 57 31 0000 2015,@jessgrace_ i thought you said i could have him? 😉
Thu Aug 13 12 54 50 0000 2015,@sarah_booker it looks awful down there. i hope you're okay xx https://t.co/e5oalt18yx
Thu Aug 13 12 52 45 0000 2015,rt @brightonargus: in pictures: severe weather hits sussex - http://t.co/qgxilqmxmi http://t.co/wjcxwf2vr2
Wed Aug 12 22 14 22 0000 2015,block 12: another traditional #granny-square #crochet #crochetblanket #afghan http://t.co/dfazpxheqh
Wed Aug 12 20 53 31 0000 2015,hog time! 💕 #hedgehog http://t.co/txlxnmzwgb
Wed Aug 12 18 55 01 0000 2015,this http://t.co/9ckftcg4to
Wed Aug 12 18 38 25 0000 2015,"this i know: don't crochet when tipsy, angry or sad. too many extremes and crochet don't mix for me..."
Wed Aug 12 18 33 20 0000 2015,"feeling emotionally drained. time for an easy, stress free evening. crochet and the penguins of madagascar 🐧"
Wed Aug 12 18 21 46 0000 2015,rt @richardbranson: read this wonderful blog about elephant conservation in zimbabwe: http://t.co/mbywtcaelx #worldelephantday http://t.co/…
Wed Aug 12 18 21 42 0000 2015,"rt @astronautabby: #astroluca2013 rt @astro_luca: arriving in #queensland, we’re welcomed by a riveting, colorful nature #australia http://…"
Wed Aug 12 17 32 43 0000 2015,rt @bbccambs: aboard the aquatic combines 'harvesting' weeds in cambs waterways http://t.co/oropisiwk2 - @dottymcl 07:50 http://t.co/9v5afb…
Tue Aug 11 22 55 49 0000 2015,"this, yep http://t.co/j8chaugpty"
Tue Aug 11 22 42 09 0000 2015,"big hoggle, out for his supper tonight. he's a magical little beastie 💗 http://t.co/z8ecvjjg46"
Tue Aug 11 20 28 43 0000 2015,rt @rspca_official: marley &amp; zena on #dogrescuers looking fab after rescue from owner who let them to almost starve. owning a dog is a priv…
Tue Aug 11 20 26 07 0000 2015,rt @protect_wldlife: indeed! http://t.co/wk9r6khtaj
Tue Aug 11 19 39 20 0000 2015,such a magical sky tonight. it changes in seconds #nofilter http://t.co/7ms2awwgqy
Tue Aug 11 19 29 46 0000 2015,beautiful sky tonight #nofilter http://t.co/c3di8rp0bq
Tue Aug 11 19 12 25 0000 2015,a rare tuesday treat for dinner #comfortfood https://t.co/9letz3j7nn
Tue Aug 11 17 54 16 0000 2015,bought today. can't decide if this is super organised or waaay too early... http://t.co/q73bhzqjln
Tue Aug 11 17 49 06 0000 2015,"@lilypebbles sorry to hear this lily. pets are family, and it's heartbreaking when they die. dixie had a lovely life with you x"
Tue Aug 11 15 37 01 0000 2015,must remember this... http://t.co/pq9n006mbf
Mon Aug 10 07 15 29 0000 2015,gorilla has amazing reaction when reunited with man that took care of him for 5 years http://t.co/wul3hxtvgr
Sun Aug 09 22 55 30 0000 2015,rt @designtaxi: test your eyes by playing this fast-paced color-matching game http://t.co/hframein83 http://t.co/qdupdbdrnq
Sun Aug 09 22 55 22 0000 2015,"i scored 447 points at kolor, a game where you have to guess colors to score high!"
Sun Aug 09 22 51 40 0000 2015,"awake. mind racing. need to sleep, dammit! 😟 #insomnia"
Sun Aug 09 22 34 17 0000 2015,square 11 done #crochet #crochetblanket http://t.co/4ehqftyzvt
Sun Aug 09 22 32 44 0000 2015,"@the_candourist glad to see that you survived the brutality of the desert. stay strong, be safe"
Sun Aug 09 18 40 36 0000 2015,i’ve just remembered that the new house has  range cooker. whoop! looking forward to road testing it 😊
Sun Aug 09 14 39 13 0000 2015,square 10 / lacy #crochet / pale blue dk yarn #crocheting #crochetblanket http://t.co/vrvvn6vqoh
Sun Aug 09 13 20 48 0000 2015,9 squares made #crochet #crocheting http://t.co/mromykm0ta
Sun Aug 09 10 31 32 0000 2015,rt @cambridgenewsuk: have you had a look around milton country park? we've found some of its prettiest spots http://t.co/wnbsmqq5hs http://…
Sun Aug 09 10 31 05 0000 2015,rt @twistedthread: happy sunday! #borntosew http://t.co/pmv7hewazw
Sun Aug 09 10 12 44 0000 2015,"deckchair in the sun, what's not to love? ☀️💕😎 #catsoftwitter http://t.co/vegr1rwuag"
Sat Aug 08 21 28 17 0000 2015,watching pitch perfect 2... pat benatar - we belong https://t.co/wllj5en5uy
Sat Aug 08 21 15 27 0000 2015,"natalie imbruglia, where is she now...?"
Sat Aug 08 20 59 32 0000 2015,two hoggles out for dinner so far tonight... #hedgehog http://t.co/ujixe60csl
Sat Aug 08 12 59 03 0000 2015,rt @bhcitynews: #brighton student chosen to exhibit alongside hogarth and reynolds at national portrait gallery http://t.co/4tisq7jm61
Sat Aug 08 12 57 51 0000 2015,@woof_all_4_pets beautiful kitty!
Sat Aug 08 12 55 45 0000 2015,@viviannamakeup what a lovely kitchen!
Sat Aug 08 12 14 23 0000 2015,rt @cambridgenewsuk: 18 fun things to do in cambridgeshire in september http://t.co/u79agwlxop http://t.co/7wtocgue9r
Sat Aug 08 12 07 05 0000 2015,can you see me? 😎 #worldcatday http://t.co/d9tbtmhlsc
Sat Aug 08 12 06 18 0000 2015,rt @dogstrust: these pups can't be cuddled due to a horrible skin infection. @dt_essex provide the tlc... http://t.co/yy1iw5rulj http://t.c…
Sat Aug 08 12 01 41 0000 2015,"it's not your chair, it's all mine! 💗#worldcatday http://t.co/hrwduoksyg"
Sat Aug 08 11 44 19 0000 2015,rt @cambridgenewsuk: the cambridgeshire cook book is out now! http://t.co/wima0jcgmm http://t.co/goz1ffmdid
Sat Aug 08 11 43 40 0000 2015,"rt @cambridgenewsuk: most a-level predicted grades are wrong, cambridge assessment finds http://t.co/8uiyjmjh3u"
Sat Aug 08 11 25 11 0000 2015,i might have completed on the house by this time next week. whoop! 🎉🏡
Sat Aug 08 11 13 24 0000 2015,@mrbenbrown just watched you &amp; steve get your tats. looked painless! i want now 👍🏼
Sat Aug 08 10 51 03 0000 2015,keeping me company while i work ❤️ #worldcatday @catsprotection http://t.co/g4flzsvk6p
Sat Aug 08 10 30 57 0000 2015,what a happy little dog! :) : rose plays with a balloon https://t.co/q75czvkhtz via @youtube
Fri Aug 07 20 48 48 0000 2015,4 snuffly hedgehogs out for dinner this evening ❤️
Fri Aug 07 12 31 20 0000 2015,poor babies :( https://t.co/smznjrnrrk
Fri Aug 07 12 08 16 0000 2015,oh no! what is wrong with people?!?!  :( https://t.co/zl9f9h6agq
Fri Aug 07 11 52 55 0000 2015,the estate agent is officially pissing me off now...
Fri Aug 07 11 51 39 0000 2015,"rt @bbccambs: woman, 20, assaulted as she walked home in peterborough - appeal by @cambscops http://t.co/q5zxbwpdom"
Fri Aug 07 11 43 49 0000 2015,rt @richardbranson: why big game animals are worth more alive than dead: http://t.co/rovvjkro2q http://t.co/k5hwnhcdzf
Fri Aug 07 07 39 34 0000 2015,"@donkeysanctuary a mention in the times, fastest growing farm attraction. how lovely! yay for the donkeys!! 💕 http://t.co/zfkmalzzrk"
Fri Aug 07 07 02 55 0000 2015,are the schools now out? there’s no traffic this morning. feels really odd...
Thu Aug 06 23 33 39 0000 2015,square 8 complete. trebles and bobbles! #crochet http://t.co/2cu6fpvkew
Thu Aug 06 19 03 20 0000 2015,rt @protect_wldlife: please rt: a massive thank you to the kind souls who look after the orphans of the #rhino horn trade. #insafehands htt…
Thu Aug 06 19 02 53 0000 2015,rt @protect_wldlife: scared baby #elephant rapa's cries saved him from drowning. http://t.co/qiez1aim6x many thanks to the @dswt team! http…
Thu Aug 06 16 54 52 0000 2015,"it's been a while river cam, but you still fill me with joy 🙏🏼💕 https://t.co/szdimz4hbv"
Thu Aug 06 16 49 40 0000 2015,a beautiful evening for gentle walk home... https://t.co/jw4hie24jl
Thu Aug 06 16 22 47 0000 2015,yaay! grantchester! 😁👍🏼 https://t.co/ydq4nkqyzc
Thu Aug 06 16 22 11 0000 2015,i ❤️ bus drivers who actually wait for elderly passengers to sit before they start driving off. they aren't all so nice...
Thu Aug 06 10 34 15 0000 2015,#rip george... minder star george cole dies at 90 http://t.co/om3bqe3p57
Thu Aug 06 07 28 37 0000 2015,poffy will alway take time out from his hectic schedule of sleeping &amp; eating to give his buddy a quick wash... ❤️ http://t.co/2801ubo3on
Wed Aug 05 21 07 51 0000 2015,trying a new stitch. bit uneven so  this is my test attempt 😊 #crochet https://t.co/9sef1jprgu
Wed Aug 05 17 15 07 0000 2015,rt @rspca_official: rt @heartwiltsnews: kittens found in car towed 87 miles from #swindon: http://t.co/xdh7vv640a #heartnews http://t.co/gs…
Wed Aug 05 16 36 57 0000 2015,"how the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery 😳"
Wed Aug 05 16 29 14 0000 2015,i’m now a step closer towards contracts signed and completion on the house. exciting times! 😎
Wed Aug 05 10 56 20 0000 2015,disgusting. i hope they catch the person doing it.  https://t.co/9ejubl3xc7
Wed Aug 05 09 45 42 0000 2015,rt @twistedthread: minions fans! this pattern's for you http://t.co/b6nciujzi8 #sewing #felt http://t.co/d52ww2qkjb
Wed Aug 05 09 44 17 0000 2015,"@catsprotection one of my girls, doing what she does best, sleeping! 💗 #whiskerswednesday http://t.co/zuj8nwz48b"
Wed Aug 05 07 00 36 0000 2015,i wish the foreign language schools in cambridge would teach students some manners too... 😤
Wed Aug 05 06 13 55 0000 2015,"bad night's sleep. weird, anxiety dreams have left me feeling anything but refreshed 😕"
Tue Aug 04 17 18 58 0000 2015,@the_candourist fantastic first vlog. very emotional. beautifully filmed. good luck on your epic ride 👊🏼🍀
Tue Aug 04 16 52 56 0000 2015,just this http://t.co/vderr663eu
Tue Aug 04 08 42 23 0000 2015,...and it's only tuesday morning... http://t.co/9mxcpi5sjn
Tue Aug 04 06 40 12 0000 2015,random song popped into my head... midnight train to georgia. no idea why or where from... http://t.co/w0bsahuybb
Tue Aug 04 06 12 41 0000 2015,life may only seem perfect to the outside world #motivationalquotes http://t.co/7eadts8qb4
Mon Aug 03 21 12 01 0000 2015,"rt @rickygervais: on a serious note, i'm so incredibly proud of all of you for your unified compassion and condemnation of animals abusers.…"
Mon Aug 03 18 47 30 0000 2015,there's nothing more delicious than coming home and taking off the work clothes... 😊
Mon Aug 03 16 46 29 0000 2015,talking 80s tv shows this afternoon brought up mention of the talking aspidistra. who remembers that? 😉
Mon Aug 03 16 31 24 0000 2015,appeal to identify suspects after homophobic assault on train back to london from brighton pride https://t.co/zch0e0kvfg
Mon Aug 03 11 35 14 0000 2015,retro sweets monday 😁 https://t.co/qmca1qfuhs
Mon Aug 03 07 28 49 0000 2015,"rt @designtaxi: makeup artist paints wonderful, whimsical scenes of adorable cats on eyelids http://t.co/hogywesbyl http://t.co/5y8mtulszw"
Mon Aug 03 07 16 21 0000 2015,rt @folksy: feeling overwhelmed? - craft business advice - time management tips  - http://t.co/stadtot2oy
Mon Aug 03 07 14 41 0000 2015,rt @designtaxi: know of a cat-loving friend who would love to have this patch? http://t.co/toyxobw1jt http://t.co/ejax83yl40
Mon Aug 03 07 13 42 0000 2015,rt @craftsbeautiful: #yarnbombing has come to coronation street! http://t.co/mc8xar7kuv http://t.co/xaxpcju14d
Mon Aug 03 07 10 11 0000 2015,"monday, i'm coming to get ya #positiveaffirmations http://t.co/gv0tuin8md"
Sun Aug 02 22 51 20 0000 2015,remember this http://t.co/mylwhhyv1d
Sun Aug 02 22 37 50 0000 2015,pre 'monday-anxiety' anxiety sucks 😟
Sun Aug 02 22 24 43 0000 2015,how wonderful 😊💗 https://t.co/wvuwzfklal
Sun Aug 02 15 30 46 0000 2015,holywell river front https://t.co/xjzyxobapt
Sun Aug 02 13 52 44 0000 2015,sunday lunch at the old ferryboat inn... https://t.co/bb13500cy2
Sun Aug 02 11 56 09 0000 2015,"rip cilla... cilla black dies, aged 72 | via @telegraph http://t.co/vxpy3onxjs"
Sat Aug 01 19 58 57 0000 2015,the bangles - eternal flame  http://t.co/wrv8vtcnj8
Sat Aug 01 19 38 41 0000 2015,soooo sleepy... and it’s only 8:30 on a saturday night! 😴
Sat Aug 01 18 43 19 0000 2015,my first #crochet flower... http://t.co/ybbov8iqik
Sat Aug 01 16 19 23 0000 2015,funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly
Sat Aug 01 15 20 45 0000 2015,i only went in to @hobbycraft for black buttons. several balls of wool &amp; a needle felt kit later... http://t.co/qxcsjt0hop
Sat Aug 01 06 52 41 0000 2015,mashed avocado on toast... breakfast of champions 💗 https://t.co/d22s28tsnt
Fri Jul 31 19 52 35 0000 2015,rt @richardbranson: why protecting endangered species is one of the most important things any of us can do: http://t.co/i0v3kmqjy0 http://t…
Fri Jul 31 18 42 59 0000 2015,💗 this... tears for fears - head over heels http://t.co/wcdyqrnwcf
Fri Jul 31 18 28 51 0000 2015,mum is out of surgery and seems to be fine. overnight in the hospital then home tomorrow... 😊
Fri Jul 31 18 20 39 0000 2015,new #crochet project... making red poppies to sell for the british legion. first flowers i’ve ever made 😊
Fri Jul 31 17 00 25 0000 2015,what a vile sub-human... https://t.co/v8adw40cvq
